product_name,short_description,description,recommended_price,stock,insurance_label,upgrade_source_type,upgrade_target,market_lowest_usd,market_listing_count,cheapest_seller,our_cost_usd,margin_usd,from_ship,to_ship,insurance_months,from_msrp,to_msrp
Upgrade - M2 Hercules to Ironclad Assault Standard Edition,"CCU: M2 Hercules → Ironclad Assault | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | M2 Hercules → Ironclad Assault

Type: Standard Edition
Insurance: No Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged M2 Hercules into a Ironclad Assault without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",23.00,8,no ins.,regular,Ironclad Assault,24.00,8,Seller: Humble Provisions,15.00,8.00,M2 Hercules,Ironclad Assault,0,520,535
Upgrade - Liberator to Merchantman Warbond Edition,"CCU: Liberator → Merchantman | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Liberator → Merchantman

Type: Warbond Edition — purchased directly with real money (not store credit)
Insurance: No Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Liberator into a Merchantman without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",48.99,1,no ins.,warbond,Merchantman,49.99,10,"Seller: WildKarrdes Emporium
                            
                                                                                                                            
                                        
        
        
            
            
                What's this?
                Customers rate this seller 4.5+ out of 5 on average, based on at least 50 ratings.
            
        
    
    
        
        
            
            
                What's this?
                Delivery is guaranteed within 24 hours. This seller averages under 4 hours across 10+ recent orders.",25.00,23.99,Liberator,Merchantman,0,575,650
Upgrade - Cutlass Steel to Mercury Warbond Edition,"CCU: Cutlass Steel → Mercury | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Cutlass Steel → Mercury

Type: Warbond Edition — purchased directly with real money (not store credit)
Insurance: No Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Cutlass Steel into a Mercury without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",28.98,3,no ins.,warbond,Mercury,29.98,10,"Seller: Game.Kingdom
                            
                                                                                                                            
                                        
        
        
            
            
                What's this?
                Customers rate this seller 4.5+ out of 5 on average, based on at least 50 ratings.
            
        
    
    
        
        
            
            
                What's this?
                Delivery is guaranteed within 24 hours. This seller averages under 4 hours across 10+ recent orders.",5.00,23.98,Cutlass Steel,Mercury,0,235,260
Upgrade - Cutlass Steel to Mercury Warbond Edition,"CCU: Cutlass Steel → Mercury | 120-mo ins. | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Cutlass Steel → Mercury

Type: Warbond Edition — purchased directly with real money (not store credit)
Insurance: 120-Month Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Cutlass Steel into a Mercury without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",28.98,3,120 months,warbond,Mercury,29.98,10,"Seller: Game.Kingdom
                            
                                                                                                                            
                                        
        
        
            
            
                What's this?
                Customers rate this seller 4.5+ out of 5 on average, based on at least 50 ratings.
            
        
    
    
        
        
            
            
                What's this?
                Delivery is guaranteed within 24 hours. This seller averages under 4 hours across 10+ recent orders.",5.00,23.98,Cutlass Steel,Mercury,120,235,260
Upgrade - Cutlass Steel to Mercury BIS Warbond Edition,"CCU: Cutlass Steel → Mercury | 120-mo ins. | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Cutlass Steel → Mercury

Type: Warbond Edition — purchased directly with real money (not store credit)
Insurance: 120-Month Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Cutlass Steel into a Mercury without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",28.98,3,120 months,warbond,Mercury,29.98,10,"Seller: Game.Kingdom
                            
                                                                                                                            
                                        
        
        
            
            
                What's this?
                Customers rate this seller 4.5+ out of 5 on average, based on at least 50 ratings.
            
        
    
    
        
        
            
            
                What's this?
                Delivery is guaranteed within 24 hours. This seller averages under 4 hours across 10+ recent orders.",5.00,23.98,Cutlass Steel,Mercury,120,235,260
Upgrade - Terrapin to Meteor Warbond Edition,"CCU: Terrapin → Meteor | 120-mo ins. | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Terrapin → Meteor

Type: Warbond Edition — purchased directly with real money (not store credit)
Insurance: 120-Month Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Terrapin into a Meteor without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",38.89,1,120 months,warbond,Meteor,39.89,8,"Seller: warbondcentral
                            
                                                                                                                            
                                        
        
        
            
            
                What's this?
                Customers rate this seller 4.5+ out of 5 on average, based on at least 50 ratings.",20.00,18.89,Terrapin,Meteor,120,220,260
Upgrade - Vanguard Harbinger to MOLE Warbond Edition,"CCU: Vanguard Harbinger → MOLE | 120-mo ins. | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Vanguard Harbinger → MOLE

Type: Warbond Edition — purchased directly with real money (not store credit)
Insurance: 120-Month Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Vanguard Harbinger into a MOLE without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",23.78,3,120 months,warbond,MOLE,24.78,5,"Seller: Chop Chop Ship Shop
                            
                                                                                                                            
                                        
        
        
            
            
                What's this?
                Customers rate this seller 4.5+ out of 5 on average, based on at least 50 ratings.",5.00,18.78,Vanguard Harbinger,MOLE,120,290,315
Upgrade - Vanguard Warden to Paladin Warbond Edition,"CCU: Vanguard Warden → Paladin | 120-mo ins. | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Vanguard Warden → Paladin

Type: Warbond Edition — purchased directly with real money (not store credit)
Insurance: 120-Month Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Vanguard Warden into a Paladin without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",38.90,2,120 months,warbond,Paladin,39.90,10,"Seller: Star Ship Shop
                            
                                                                                                                            
                                        
        
        
            
            
                What's this?
                Customers rate this seller 4.5+ out of 5 on average, based on at least 50 ratings.
            
        
    
    
        
        
            
            
                What's this?
                Delivery is guaranteed within 24 hours. This seller averages under 4 hours across 10+ recent orders.
            
        
    
    
        
        
            
            
                What's this?
                Crown-rated seller: 4.8+ average customer rating and under 2h average delivery time. Delivery is guaranteed within 24 hours.",15.00,23.90,Vanguard Warden,Paladin,120,260,350
Upgrade - Merchantman to Perseus Standard Edition,"CCU: Merchantman → Perseus | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Merchantman → Perseus

Type: Standard Edition
Insurance: No Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Merchantman into a Perseus without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",48.98,3,no ins.,regular,Perseus,49.98,10,"Seller: Chop Chop Ship Shop
                            
                                                                                                                            
                                        
        
        
            
            
                What's this?
                Customers rate this seller 4.5+ out of 5 on average, based on at least 50 ratings.",25.00,23.98,Merchantman,Perseus,0,650,800
Upgrade - Carrack to Perseus Warbond Edition,"CCU: Carrack → Perseus | 120-mo ins. | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Carrack → Perseus

Type: Warbond Edition — purchased directly with real money (not store credit)
Insurance: 120-Month Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Carrack into a Perseus without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",65.95,4,120 months,warbond,Perseus,66.95,8,Seller: Razers Real Dealz,15.00,50.95,Carrack,Perseus,120,600,800
Upgrade - F7C-R Hornet Tracker to Prospector Warbond Edition,"CCU: F7C-R Hornet Tracker Mk I → Prospector | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | F7C-R Hornet Tracker Mk I → Prospector

Type: Warbond Edition — purchased directly with real money (not store credit)
Insurance: No Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged F7C-R Hornet Tracker Mk I into a Prospector without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",19.00,5,no ins.,warbond,Prospector,20.00,4,Seller: Blackrock Exchange,5.00,14.00,F7C-R Hornet Tracker Mk I,Prospector,0,150,155
Upgrade - Reclaimer to Prowler Warbond Subscribers Edition,"CCU: Reclaimer → Prowler | 12-mo ins. | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Reclaimer → Prowler

Type: Warbond Edition — purchased directly with real money (not store credit)
Insurance: 12-Month Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Reclaimer into a Prowler without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",56.08,2,12 months,warbond,Prowler,57.08,10,"Seller: WildKarrdes Emporium
                            
                                                                                                                            
                                        
        
        
            
            
                What's this?
                Customers rate this seller 4.5+ out of 5 on average, based on at least 50 ratings.
            
        
    
    
        
        
            
            
                What's this?
                Delivery is guaranteed within 24 hours. This seller averages under 4 hours across 10+ recent orders.",10.00,46.08,Reclaimer,Prowler,12,400,440
Upgrade - L-22 Alpha Wolf to RAFT Standard Edition,"CCU: L-22 Alpha Wolf → RAFT | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | L-22 Alpha Wolf → RAFT

Type: Standard Edition
Insurance: No Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged L-22 Alpha Wolf into a RAFT without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",38.97,5,no ins.,regular,RAFT,39.97,7,"Seller: Star Ship Shop
                            
                                                                                                                            
                                        
        
        
            
            
                What's this?
                Customers rate this seller 4.5+ out of 5 on average, based on at least 50 ratings.
            
        
    
    
        
        
            
            
                What's this?
                Delivery is guaranteed within 24 hours. This seller averages under 4 hours across 10+ recent orders.
            
        
    
    
        
        
            
            
                What's this?
                Crown-rated seller: 4.8+ average customer rating and under 2h average delivery time. Delivery is guaranteed within 24 hours.",5.00,33.97,L-22 Alpha Wolf,RAFT,0,120,190
Upgrade - Defender to Railen Standard Edition,"CCU: Defender → Railen | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Defender → Railen

Type: Standard Edition
Insurance: No Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Defender into a Railen without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",8.10,5,no ins.,regular,Railen,9.10,10,"Seller: NORDIC SHIP SHOP
                            
                                                                                                                            
                                        
        
        
            
            
                What's this?
                Customers rate this seller 4.5+ out of 5 on average, based on at least 50 ratings.
            
        
    
    
        
        
            
            
                What's this?
                Delivery is guaranteed within 24 hours. This seller averages under 4 hours across 10+ recent orders.",5.00,3.10,Defender,Railen,0,220,225
Upgrade - Starfarer to Redeemer Warbond Edition,"CCU: Starfarer → Redeemer | 120-mo ins. | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Starfarer → Redeemer

Type: Warbond Edition — purchased directly with real money (not store credit)
Insurance: 120-Month Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Starfarer into a Redeemer without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",12.89,10,120 months,warbond,Redeemer,13.89,7,"Seller: ErisSpaceStore
                            
                                                                                                                            
                                        
        
        
            
            
                What's this?
                Customers rate this seller 4.5+ out of 5 on average, based on at least 50 ratings.
            
        
    
    
        
        
            
            
                What's this?
                Delivery is guaranteed within 24 hours. This seller averages under 4 hours across 10+ recent orders.
            
        
    
    
        
        
            
            
                What's this?
                Crown-rated seller: 4.8+ average customer rating and under 2h average delivery time. Delivery is guaranteed within 24 hours.",10.00,2.89,Starfarer,Redeemer,120,300,330
Upgrade - Razor to Retaliator Standard Edition,"CCU: Razor → Retaliator | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Razor → Retaliator

Type: Standard Edition
Insurance: No Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Razor into a Retaliator without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",27.40,3,no ins.,regular,Retaliator,28.40,8,"Seller: zyronis
                            
                                                                                                                            
                                        
        
        
            
            
                What's this?
                Delivery is guaranteed within 24 hours. This seller averages under 4 hours across 10+ recent orders.",5.00,22.40,Razor,Retaliator,0,145,175
Upgrade - A1 Spirit  to San'tok.yāi Warbond Edition,"CCU: A1 Spirit → San'tok.yāi | 120-mo ins. | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | A1 Spirit → San'tok.yāi

Type: Warbond Edition — purchased directly with real money (not store credit)
Insurance: 120-Month Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged A1 Spirit into a San'tok.yāi without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",23.95,3,120 months,warbond,San'tok.yāi,24.95,8,"Seller: Chop Chop Ship Shop
                            
                                                                                                                            
                                        
        
        
            
            
                What's this?
                Customers rate this seller 4.5+ out of 5 on average, based on at least 50 ratings.",5.00,18.95,A1 Spirit,San'tok.yāi,120,200,240
Upgrade - Hurricane to Scorpius BIS Warbond Edition,"CCU: Hurricane → Scorpius | 120-mo ins. | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Hurricane → Scorpius

Type: Warbond Edition — purchased directly with real money (not store credit)
Insurance: 120-Month Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Hurricane into a Scorpius without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",26.00,2,120 months,warbond,Scorpius,24.99,10,"Seller: WildKarrdes Emporium
                            
                                                                                                                            
                                        
        
        
            
            
                What's this?
                Customers rate this seller 4.5+ out of 5 on average, based on at least 50 ratings.
            
        
    
    
        
        
            
            
                What's this?
                Delivery is guaranteed within 24 hours. This seller averages under 4 hours across 10+ recent orders.",25.00,1.00,Hurricane,Scorpius,120,210,240
Upgrade - Vulcan to Scorpius BIS Warbond Edition,"CCU: Vulcan → Scorpius | 120-mo ins. | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Vulcan → Scorpius

Type: Warbond Edition — purchased directly with real money (not store credit)
Insurance: 120-Month Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Vulcan into a Scorpius without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",33.99,2,120 months,warbond,Scorpius,34.99,10,"Seller: WildKarrdes Emporium
                            
                                                                                                                            
                                        
        
        
            
            
                What's this?
                Customers rate this seller 4.5+ out of 5 on average, based on at least 50 ratings.
            
        
    
    
        
        
            
            
                What's this?
                Delivery is guaranteed within 24 hours. This seller averages under 4 hours across 10+ recent orders.",20.00,13.99,Vulcan,Scorpius,120,200,240
Upgrade - Razor to SRV Standard Edition,"CCU: Razor → SRV | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Razor → SRV

Type: Standard Edition
Insurance: No Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Razor into a SRV without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",13.92,3,no ins.,regular,SRV,14.92,8,"Seller: Deonlydon
                            
                                                                                                                            
                                        
        
        
            
            
                What's this?
                Customers rate this seller 4.5+ out of 5 on average, based on at least 50 ratings.
            
        
    
    
        
        
            
            
                What's this?
                Delivery is guaranteed within 24 hours. This seller averages under 4 hours across 10+ recent orders.",5.00,8.92,Razor,SRV,0,145,165
Upgrade - Paladin to Starfarer Gemini Warbond Edition,"CCU: Paladin → Starfarer Gemini | 120-mo ins. | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Paladin → Starfarer Gemini

Type: Warbond Edition — purchased directly with real money (not store credit)
Insurance: 120-Month Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Paladin into a Starfarer Gemini without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",18.14,1,120 months,warbond,Starfarer Gemini,19.14,7,"Seller: Star Ship Shop
                            
                                                                                                                            
                                        
        
        
            
            
                What's this?
                Customers rate this seller 4.5+ out of 5 on average, based on at least 50 ratings.
            
        
    
    
        
        
            
            
                What's this?
                Delivery is guaranteed within 24 hours. This seller averages under 4 hours across 10+ recent orders.
            
        
    
    
        
        
            
            
                What's this?
                Crown-rated seller: 4.8+ average customer rating and under 2h average delivery time. Delivery is guaranteed within 24 hours.",15.00,3.14,Paladin,Starfarer Gemini,120,350,340
Upgrade - Eclipse to Starfarer Gemini Warbond Edition,"CCU: Eclipse → Starfarer Gemini | 120-mo ins. | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Eclipse → Starfarer Gemini

Type: Warbond Edition — purchased directly with real money (not store credit)
Insurance: 120-Month Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Eclipse into a Starfarer Gemini without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",28.70,2,120 months,warbond,Starfarer Gemini,29.70,9,"Seller: ErisSpaceStore
                            
                                                                                                                            
                                        
        
        
            
            
                What's this?
                Customers rate this seller 4.5+ out of 5 on average, based on at least 50 ratings.
            
        
    
    
        
        
            
            
                What's this?
                Delivery is guaranteed within 24 hours. This seller averages under 4 hours across 10+ recent orders.
            
        
    
    
        
        
            
            
                What's this?
                Crown-rated seller: 4.8+ average customer rating and under 2h average delivery time. Delivery is guaranteed within 24 hours.",15.00,13.70,Eclipse,Starfarer Gemini,120,300,340
Upgrade - Terrapin Medic to Starlancer MAX Warbond Edition,"CCU: Terrapin Medic → Starlancer MAX | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Terrapin Medic → Starlancer MAX

Type: Warbond Edition — purchased directly with real money (not store credit)
Insurance: No Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Terrapin Medic into a Starlancer MAX without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",17.12,4,no ins.,warbond,Starlancer MAX,18.12,10,"Seller: Deonlydon
                            
                                                                                                                            
                                        
        
        
            
            
                What's this?
                Customers rate this seller 4.5+ out of 5 on average, based on at least 50 ratings.
            
        
    
    
        
        
            
            
                What's this?
                Delivery is guaranteed within 24 hours. This seller averages under 4 hours across 10+ recent orders.",5.00,12.12,Terrapin Medic,Starlancer MAX,0,220,250
Upgrade - Terrapin to Starlancer MAX Warbond Edition,"CCU: Terrapin → Starlancer MAX | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Terrapin → Starlancer MAX

Type: Warbond Edition — purchased directly with real money (not store credit)
Insurance: No Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Terrapin into a Starlancer MAX without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",17.12,5,no ins.,warbond,Starlancer MAX,18.12,9,"Seller: Deonlydon
                            
                                                                                                                            
                                        
        
        
            
            
                What's this?
                Customers rate this seller 4.5+ out of 5 on average, based on at least 50 ratings.
            
        
    
    
        
        
            
            
                What's this?
                Delivery is guaranteed within 24 hours. This seller averages under 4 hours across 10+ recent orders.",5.00,12.12,Terrapin,Starlancer MAX,0,220,250
Upgrade - Caterpillar to Starlancer TAC Warbond Edition,"CCU: Caterpillar → Starlancer TAC | 120-mo ins. | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Caterpillar → Starlancer TAC

Type: Warbond Edition — purchased directly with real money (not store credit)
Insurance: 120-Month Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Caterpillar into a Starlancer TAC without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",55.65,2,120 months,warbond,Starlancer TAC,56.65,8,"Seller: Chaos Industries
                            
                                                                                                                            
                                        
        
        
            
            
                What's this?
                Customers rate this seller 4.5+ out of 5 on average, based on at least 50 ratings.",10.00,45.65,Caterpillar,Starlancer TAC,120,330,375
Upgrade - MOLE to Starlancer TAC Standard Edition,"CCU: MOLE → Starlancer TAC | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | MOLE → Starlancer TAC

Type: Standard Edition
Insurance: No Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged MOLE into a Starlancer TAC without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",58.87,5,no ins.,regular,Starlancer TAC,59.87,9,"Seller: NORDIC SHIP SHOP
                            
                                                                                                                            
                                        
        
        
            
            
                What's this?
                Customers rate this seller 4.5+ out of 5 on average, based on at least 50 ratings.
            
        
    
    
        
        
            
            
                What's this?
                Delivery is guaranteed within 24 hours. This seller averages under 4 hours across 10+ recent orders.",15.00,43.87,MOLE,Starlancer TAC,0,315,375
Upgrade - Zeus Mk II MR to Terrapin Medic Warbond Edition,"CCU: Zeus Mk II MR → Terrapin Medic | 120-mo ins. | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Zeus Mk II MR → Terrapin Medic

Type: Warbond Edition — purchased directly with real money (not store credit)
Insurance: 120-Month Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Zeus Mk II MR into a Terrapin Medic without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",19.59,1,120 months,warbond,Terrapin Medic,20.59,6,"Seller: ErisSpaceStore
                            
                                                                                                                            
                                        
        
        
            
            
                What's this?
                Customers rate this seller 4.5+ out of 5 on average, based on at least 50 ratings.
            
        
    
    
        
        
            
            
                What's this?
                Delivery is guaranteed within 24 hours. This seller averages under 4 hours across 10+ recent orders.
            
        
    
    
        
        
            
            
                What's this?
                Crown-rated seller: 4.8+ average customer rating and under 2h average delivery time. Delivery is guaranteed within 24 hours.",10.00,9.59,Zeus Mk II MR,Terrapin Medic,120,190,220
Upgrade - Starfarer Gemini to Valkyrie Warbond Edition,"CCU: Starfarer Gemini → Valkyrie | 120-mo ins. | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Starfarer Gemini → Valkyrie

Type: Warbond Edition — purchased directly with real money (not store credit)
Insurance: 120-Month Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Starfarer Gemini into a Valkyrie without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",28.99,1,120 months,warbond,Valkyrie,29.99,2,"Seller: WildKarrdes Emporium
                            
                                                                                                                            
                                        
        
        
            
            
                What's this?
                Customers rate this seller 4.5+ out of 5 on average, based on at least 50 ratings.
            
        
    
    
        
        
            
            
                What's this?
                Delivery is guaranteed within 24 hours. This seller averages under 4 hours across 10+ recent orders.",10.00,18.99,Starfarer Gemini,Valkyrie,120,340,375
Upgrade - Starfarer Gemini to Valkyrie Warbond Edition,"CCU: Starfarer Gemini → Valkyrie | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | Starfarer Gemini → Valkyrie

Type: Warbond Edition — purchased directly with real money (not store credit)
Insurance: No Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged Starfarer Gemini into a Valkyrie without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",28.99,4,no ins.,warbond,Valkyrie,29.99,2,"Seller: WildKarrdes Emporium
                            
                                                                                                                            
                                        
        
        
            
            
                What's this?
                Customers rate this seller 4.5+ out of 5 on average, based on at least 50 ratings.
            
        
    
    
        
        
            
            
                What's this?
                Delivery is guaranteed within 24 hours. This seller averages under 4 hours across 10+ recent orders.",10.00,18.99,Starfarer Gemini,Valkyrie,0,340,375
Upgrade - F7C-M Super Hornet Mk I to Vulcan Warbond Edition,"CCU: F7C-M Super Hornet Mk I → Vulcan | 120-mo ins. | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | F7C-M Super Hornet Mk I → Vulcan

Type: Warbond Edition — purchased directly with real money (not store credit)
Insurance: 120-Month Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged F7C-M Super Hornet Mk I into a Vulcan without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",35.24,1,120 months,warbond,Vulcan,36.24,4,"Seller: Stanton Shipyard
                            
                                                                                                                            
                                        
        
        
            
            
                What's this?
                Customers rate this seller 4.5+ out of 5 on average, based on at least 50 ratings.",5.00,30.24,F7C-M Super Hornet Mk I,Vulcan,120,180,200
Upgrade - F7C-M Super Hornet Mk I to Zeus Mk II MR Standard Upgrade,"CCU: F7C-M Super Hornet Mk I → Zeus Mk II MR | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | F7C-M Super Hornet Mk I → Zeus Mk II MR

Type: Standard Edition
Insurance: No Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged F7C-M Super Hornet Mk I into a Zeus Mk II MR without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",69.00,2,no ins.,regular,Zeus Mk II MR,70.00,1,"Seller: Freedom Spaceships
                            
                                                                                                                            
                                        
        
        
            
            
                What's this?
                Customers rate this seller 4.5+ out of 5 on average, based on at least 50 ratings.
            
        
    
    
        
        
            
            
                What's this?
                Delivery is guaranteed within 24 hours. This seller averages under 4 hours across 10+ recent orders.
            
        
    
    
        
        
            
            
                What's this?
                Crown-rated seller: 4.8+ average customer rating and under 2h average delivery time. Delivery is guaranteed within 24 hours.",10.00,59.00,F7C-M Super Hornet Mk I,Zeus Mk II MR,0,180,190
Upgrade - 600i Touring to 600i Explorer Warbond Edition,"CCU: 600i Touring → 600i Explorer | 120-mo ins. | Unapplied, instant gift after payment.","Cross-Chassis Upgrade (CCU) | 600i Touring → 600i Explorer

Type: Warbond Edition — purchased directly with real money (not store credit)
Insurance: 120-Month Insurance
Condition: Unapplied — ready to gift
Transfer: Safe, instant gift on Star Hangar after payment confirmation

This CCU converts your pledged 600i Touring into a 600i Explorer without losing your existing insurance or perks.
All sales are final. Gift sent within minutes of confirmed payment.",SET MANUALLY,1,120 months,warbond,600i Explorer,none,0,,10.00,,600i Touring,600i Explorer,120,435,475
